rank,name,state,ownership_type,owner_or_parent,principals,succession_signal,founded_year,fleet_size_est,employees_est,service_types,districts_or_customers,recent_news,website,confidence,fit_notes
49,Raphael Irvin Inc,NJ,family-owned,Raphael family (independent),"[""Eric K. Raphael (President; former NJ School Bus Contractors Assn president)"", ""Jacob Raphael (founder, 1927)"", ""Irvin Raphael (second generation)""]",medium,1927,100,150,"[""school"", ""charter""]","[""East Brunswick area districts"", ""Operations into NYC"", ""Daycare, family event and line-run services""]",Long-tenured 3rd-generation family operator; downsized charter division in early 2000s to focus on school bus. Eric Raphael is active in NJSBCA. No public M&A signals.,https://raphaelbus.com/,high,"Strong tuck-in candidate: ~100-bus, ~150-employee, 3rd-generation family operator in Middlesex County NJ with deep East Brunswick footprint and NYC route exposure. Source data founding year (1919) and revenue (~$2.7M) appear understated vs. company-reported scale (likely $10M+). Higher-quality target than the small-tier label suggests."
50,GST Transport,NJ,family-owned,Brunt family (independent),"[""Peter Brunt (Founder, 1969)"", ""Wendy Brunt (Co-founder)"", ""Jonathan Brunt (joined 1997, launched school bus division)"", ""Katie Brunt Avunduk (joined 2009)"", ""Joe Giordano (Freehold Manager, per source data)""]",low,1969,40,50,"[""school"", ""charter""]","[""Robbinsville"", ""Northern Burlington"", ""Upper Freehold"", ""Millstone"", ""Day care centers, camps, summer schools across Central/South NJ""]","Family operates four NJ locations (Southampton HQ, Robbinsville, Freehold, Washington/Warren County, plus New Egypt). 2nd-generation Brunt family active in business; profiled by Community News as 'family owned & dedicated to community.' No M&A signals.",https://www.gsttransport.com/,high,"Multi-yard Central/South NJ family operator with 4-5 yards covering Burlington/Mercer/Monmouth counties. Second-generation management is mid-career so near-term succession unlikely, but geographic footprint and yard density make it a strategic NJ tuck-in if Summit can find an angle. Mixed school + camp/charter book."
51,Belair Transport Inc,NJ,family-owned,Trapasso family (third generation); Michael Grassini Jr. listed as owner/exec,"[""Thomas Trapasso Sr. (founder)"", ""Michael Grassini Jr. (owner/exec)""]",medium,1968,120,200,"[""school""]","[""25+ NJ school districts incl. Newark, Livingston area; Newark Academy referenced""]","Profiles its third-generation family ownership and 120+ bus fleet serving 25+ districts and 1,000+ students; no recent M&A signal found (2024-2026).",https://belairtransport.com,high,"Attractive NJ tuck-in: 3rd-gen family ownership (succession potential), ~120-bus fleet, 25+ district contract base near Newark/Livingston. Good geographic fit for a NJ/NY platform; succession dialogue with Trapasso/Grassini families warranted."
52,Twincity Transportation,MN,independent,independent (privately held); Thomas Reis identified as President,"[""Thomas Reis (President)"", ""Tom Reise listed in source data (likely same individual)""]",unknown,1989,152,150,"[""school"", ""special-needs"", ""Type III school transportation"", ""homeless/foster student transport""]","[""Saint Thomas Academy"", ""Visitation School"", ""Twin Cities International Schools"", ""ISD 197 (West St. Paul-Mendota Heights)"", ""Twin Cities metro private/public schools""]",Active member of Minnesota School Bus Operators Association and MAFOMN; ~152 power units / 148 drivers per FMCSA snapshot; no public M&A signals (2024-2026).,https://www.tctinc.org,medium,"Solid Twin Cities metro tuck-in: ~150 buses, mix of Type III school and SPED/homeless/foster routes, strong private-school contract base (Saint Thomas, Visitation). Fits expansion into MN; founder/president succession unknown but worth direct outreach."
53,Southwinds School Activity Svc,CA,independent,independent (privately held),"[""Leslie Schimel (Manager per source data)""]",unknown,2001,17,12,"[""school"", ""charter"", ""activity/sport trips"", ""shuttle""]","[""LAUSD"", ""Conejo Valley Unified"", ""Pleasant Valley School District"", ""William S. Hart Union High School District"", ""private schools in San Fernando Valley""]",Operates as 'Southwinds Transportation' out of Sun Valley; CHP school-bus-certified drivers; no recent M&A signal (2024-2026).,https://www.swbuses.com,medium,"Sub-scale CA operator (~17 buses, 12 drivers) - small for a platform tuck-in but holds named LAUSD/Conejo/Hart district relationships. Better as a micro-bolt-on for a CA platform than for an East Coast-anchored Summit unless CA entry is a priority."
54,Independent Coach Corp,NY,family-owned,Fabrizio family (acquired company in 1999),"[""Nicholas Fabrizio (purchased 1999, long-tenured)"", ""Charlotte Fabrizio"", ""Michael Fabrizio"", ""Nanci Quaas"", ""Charlene Killman"", ""Lori Cimato (Director)""]",high,1941,300,380,"[""school"", ""charter"", ""summer camp""]","[""Lawrence Public Schools (60+ year customer)"", ""Hewlett-Woodmere"", ""Valley Stream 13"", ""West Hempstead"", ""East Rockaway"", ""Stella K. Abraham High School for Girls"", ""18 total districts on Long Island""]",Named Inwood Civic Association Citizen of the Year (2024) for 80+ years of community service. Lawrence schools have had public negotiations over the bus contract in recent cycles. Patriarch Nicholas Fabrizio profiled in local press.,https://independentcoach.com,high,"Top-tier Nassau County tuck-in: ~300 buses, 18 LI districts, 80+ year operating history, family-owned since 1999 with founder Nick Fabrizio now elder statesman - clear succession angle. Strong Lawrence/Five Towns concentration complements any NY metro platform; pursue Fabrizio family directly."
55,A1 Service Inc (A-1 Transit / A-1 Van Service),PA,family-owned,Sachs family (independent),"[""Marlene Sachs (Owner)"", ""David Sachs Jr. (General Manager)"", ""Cori Skellie (Operations Manager)""]",medium,2001,50,50,"[""school"", ""special-needs (van service)"", ""charter (weddings/concerts/sports)""]","[""Pittsburgh Public Schools (approved carrier)"", ""Pittsburgh-area suburban districts""]","Listed on Pittsburgh Public Schools approved carrier list; second yard at 437 Butler St., Pittsburgh (Etna borough); no recent M&A signals (2024-2026).",https://a1transit.net,medium,"Mid-size Pittsburgh tuck-in: Sachs family-run with ~50 buses/vans across school, SPED van and charter. Active PPS carrier with multi-yard footprint (Verona + Etna). Mother/son leadership (Marlene + David Jr.) suggests succession pathway; useful bolt-on for any Western PA platform."
57,King's Transit,PA,family-owned,independent,"[""Harold E. King Jr. (President)""]",medium,1998,,22,"[""school"", ""charter""]","[""Greene County / Waynesburg, PA area (likely Central Greene SD, Carmichaels Area SD)""]","No M&A or news reported; BBB lists 27 years in business, not BBB accredited, insufficient information for rating; 4.8-star aggregate review profile.",kingtransitinc.com,medium,"Small SW PA family operator near WV border, sub-scale (~22 employees, est. $0.8M revenue). Founder/President Harold King Jr suggests potential successor risk. Geography (Waynesburg) is outside dense Summit footprint but could be part of a PA roll-up; likely too small as a standalone tuck-in absent cluster strategy."
58,Safeway Transportation,MI,independent,independent (founded by group of former taxicab owners),"[""Patricia Whitlow (President)""]",high,1975,80,116,"[""special-needs"", ""school"", ""SPED""]","[""Detroit Public Schools Community District (DPSCD) - long-term contract, ~35+ years; dedicated 80 vehicles to DPSCD routes through 2020 and beyond""]","Featured in School Transportation News for investing in 50 Blue Bird propane school buses, targeting 100% green fleet; long-tenured DPSCD contract; 2003 Michigan COA case (Safeway v. Essie) involving non-compete dispute with former officials.",safewaytransportation.com,high,"Strong tuck-in candidate: 50-year-old independent Detroit operator with deep DPSCD special-needs contract, ~$11M revenue, propane-fleet investment story, and long-tenured female President (Patricia Whitlow) suggesting elevated succession likelihood. Single-district concentration risk and prior NLRB/labor history are diligence items. Excellent SPED platform addition for Summit in Michigan."
59,Cozy Van,IA,family-owned,Cozy Van LLC (independent),"[""Maryann Diesburg (Owner)"", ""James M. Diesburg (primary contact, FMCSA filings)""]",high,1970,11,21,"[""NEMT"", ""wheelchair"", ""stretcher""]","[""Northeast Iowa region (Cedar Falls, Waterloo, New Hampton, tri-state); Medicaid NEMT; not a primary school-bus contractor""]","Original cozyvan.com domain is no longer active (redirects to a domain marketplace), suggesting possible wind-down or web-presence lapse; USDOT 1851766 active with 11 power units / 11 drivers, intrastate passenger authority only.",cozyvan.com (domain currently parked/for sale),medium,"Weak fit for Summit. This is a NEMT / wheelchair-van operator (Medicaid transport), not a yellow-bus school contractor; ~11 vehicles, ~$1.2M revenue. Founder-aged owner (Maryann Diesburg, business dates back to 1970) and dormant website signal succession opportunity, but service mix and rural Iowa geography are off-thesis for Summit's school-bus tuck-in strategy."
61,Koala Kruizers,OH,independent,independent,"[""Cyndi Morrow (Owner)""]",medium,1995,18,20,"[""NEMT"", ""special-needs"", ""school (limited - kids to school/daycare)"", ""senior transport"", ""wheelchair"", ""pet""]","[""Stark County, OH (Canton, Massillon, North Canton, Louisville, Alliance, Waynesburg)"", ""Medicaid NEMT"", ""private pay seniors/families""]","Owner Cyndi Morrow profiled in Voyage Ohio (Rising Stars) covering her transition from Akron-Canton Airport charter ops to founding Koala Kruizers; company has expanded from children-only to wheelchair, seniors and pets.",https://koalakruizers.com,medium,"Small NEMT/private transport (~18 vehicles, 20 employees) in NE Ohio. Not a contracted school bus operator — mostly Medicaid NEMT and private pay; weak fit as a school-bus tuck-in but could be a small SPED/NEMT bolt-on if Summit operates NEMT lines in Ohio."
62,Van's Med-Tec Transport & Svc,VA,family-owned,independent,"[""Chris Elliott (Owner)"", ""Amanda Jones (Co-Owner)"", ""originally founded by Van Elliott (per source data)""]",medium,1989,15,45,"[""NEMT"", ""wheelchair"", ""stretcher"", ""ambulatory"", ""long-distance medical""]","[""Southern Virginia and northern North Carolina"", ""hospitals, nursing/rehab centers, assisted living, dialysis centers"", ""Medicaid/Medicare NEMT""]",Active BBB-listed family-owned NEMT operator since 1989; no public M&A or litigation news found in 2024-2026.,https://vansmedtec.com,medium,"Pure-play NEMT, not a school bus contractor. Family ownership with apparent generational transition (Van -> Chris Elliott) suggests possible succession opportunity, but mission fit is weak for Summit's K-12 platform unless Summit pursues a NEMT/medical adjacency strategy."
64,Peoples Express,MN,family-owned,independent,"[""Janice (Jan) Roers (CEO/co-founder)"", ""Mike Roers (co-founder)""]",high,1991,40,48,"[""NEMT"", ""special-needs"", ""non-emergency medical transport"", ""specialty disability transport""]","[""28 counties in Western and Central Minnesota"", ""destinations across MN, ND, SD, IA"", ""Medicaid/specialty disability NEMT""]",Family-owned (Jan and Mike Roers) since 1991; grew from 2 vans to 40+ across 28-county footprint. No public M&A or litigation news found.,https://peoplesexpressmn.com,medium,35-year-old family-owned MN NEMT/disability transport with founders Jan & Mike Roers still in place — strong succession signal. Not a contracted school-bus carrier; primarily NEMT. Limited K-12 fit but a meaningful regional disability/SPED-adjacent platform if Summit expands into NEMT in MN.
