a_rank,bench_rank,track,company,state,hq,composite,data_confidence,fleet_buses,drivers,founded,fmcsa_source,usdot,fmcsa_status,safety_rating,ownership_type,owner_or_parent,principals,succession_signal,service_types,districts,recent_news,website,size_tier,da_employees,da_revenue_est,fit_notes,_sf,_su,_geo,_ind,_oh,_rel,rank_old
31,,A,Leland F Harris Inc,NY,"Lindley, NY",99.0,0.8,14,10,1964,census(high),517402,A,,family-owned,independent,Patsy Harris (runs business); Larry B Harris (CEO/listed exec); founded by Leland F. Harris (d. 2010),high,school,"Corning-Painted Post Area School District (one of four local contractors alongside Birnie, Loren Smith, Titus)",Founder Leland F. Harris died 2010; he was 1991 School Bus Contractor of the Year and former president of the School Bus Contractors Association. Business has continued under family ownership since.,,single,10,360000,"Classic small family-owned NY school bus contractor in Summit footprint with multi-generational ownership and clear succession dynamics (founder deceased 2010, second-generation now in 60s+). Long-tenured Corning-Painted Post district relationship is attractive, though fleet is likely small (<15 buses).",100,100,100,100,100,90,1053
32,,A,Fisher Brothers Inc,PA,"Burnham, PA",99.0,0.8,35,35,1959,census(high),1519690,A,,family-owned,independent,"[""Max Fisher (President)""]",medium,"[""school""]","[""Mifflin County School District (MCSD)""]","July 2023: Fisher Brothers and Krise Transportation initially walked away from MCSD when contracts were not renewed, creating a Mifflin County transportation crisis. March 2025: MCSD board recommended new 5-year pupil-transportation agreement with Fisher Brothers (7/1/2025-6/30/2030); agreement was rescinded and re-approved in revised form June 2025, restoring Fisher Brothers as a core MCSD contractor through 2030.",,single,3,126000,Genuine family-owned PA school-bus operator since 1959 with ~27 buses serving Mifflin County SD on a fresh 5-year contract through 2030 - exactly the profile Summit targets. Recent contract drama suggests succession/strategic-options conversations may be welcome. Strong tuck-in candidate in central PA; reach out to Max Fisher.,100,100,100,100,100,90,2020
33,,A,Suburban Transportation Inc,NY,"Schenectady, NY",97.5,1.0,104,104,1986,census(high),1972364,A,,family-owned,independent (Ilacqua family),"[""Mark Ilacqua (President & CEO since 2008)"", ""Michael Ilacqua (President, per source record \u2014 likely prior generation/family member)""]",low,"[""NEMT"", ""special-needs school transport"", ""paratransit"", ""wheelchair transport"", ""corporate shuttle""]","[""Insurance/managed-care payors: Circle Care, UnitedHealthcare, Fidelis Care, Nascentia Health; Central NY school districts using SPED transport (specific districts not disclosed)""]",Mark Ilacqua launched Tobi Cloud (passenger-transport SaaS) in 2021 as co-founder/Head of Product and also runs Highland Patient Transport (2019) — suggests diversified family interests but Suburban continues operating. No announced sale.,suburbantransport.com,single,40,3300000,"Decent Summit fit for NY footprint: Upstate NY (Syracuse HQ with Schenectady ops), explicit SPED school-transport service line, family-owned since 1986. Owner (Mark Ilacqua) is younger/active and building adjacent ventures (Tobi Cloud), so succession likelihood is low near-term but worth relationship-building; ~$3M revenue is small for a tuck-in but adds NEMT/SPED density.",100,100,100,100,100,75,144
34,,A,Medicab Of Rochester,NY,"Rochester, NY",97.5,1.0,31,40,1975,census(high),1717552,A,,family-owned,independent (Mead family),"[""Maureen Mead Radder (President/CEO, co-founder)"", ""Don Mead (Founder, deceased 2010)""]",high,"[""NEMT"", ""special-needs school transport (wheelchair-bound students)""]","[""3+ local Rochester-area school districts (historical wheelchair-student contracts)"", ""NY State Office of Vocational Rehabilitation / Access VR"", ""Medicaid managed care""]",No major M&A news identified. Long-standing local NEMT operator; fleet grew from 4 vehicles (1978) to ~50 by 2014.,https://www.medicabofrochester.com,single,39,2410000,"50-year-old family business led by surviving co-founder; founder died 2010, suggesting strong succession signal. Mix of NEMT and SPED/wheelchair school routes fits Summit's special-needs vertical in upstate NY (Summit footprint state). Smaller scale (~$2.4M revenue) — bolt-on for upstate NY platform rather than standalone.",100,100,100,100,100,75,147
35,,A,A1 Service Inc,PA,"Verona, PA",96.0,1.0,96,50,1989,agent,960139,active,None,family-owned,Sachs family (independent),"[""Marlene Sachs (Owner)"", ""David Sachs Jr. (General Manager)"", ""Cori Skellie (Operations Manager)""]",medium,"[""school"", ""special-needs (van service)"", ""charter (weddings/concerts/sports)""]","[""Pittsburgh Public Schools (approved carrier)"", ""Pittsburgh-area suburban districts""]","Listed on Pittsburgh Public Schools approved carrier list; second yard at 437 Butler St., Pittsburgh (Etna borough); no recent M&A signals (2024-2026).",https://a1transit.net,single,50,2216000,"Mid-size Pittsburgh tuck-in: Sachs family-run with ~50 buses/vans across school, SPED van and charter. Active PPS carrier with multi-yard footprint (Verona + Etna). Mother/son leadership (Marlene + David Jr.) suggests succession pathway; useful bolt-on for any Western PA platform.",100,85,100,100,100,90,55
36,,A,Excellent Bus Svc Inc,NY,"Monticello, NY",96.0,1.0,12,49,1990,census(high),586526,A,S,family-owned,independent,"[""Gino (Geno) Gelb (President)"", ""Gelb family""]",medium,"[""charter""]","[""Catskills routes (Monticello/Bridgeville hub)"", ""Brooklyn-Catskills summer camp/yeshiva transport (incl. Yeshiva Zichron Moshe)"", ""Toronto and Monroe NY scheduled routes""]",Operating ~33 years as a family business; website materials and 2025 summer schedule confirm active Brooklyn-Catskills Orthodox/Hasidic community charter routes. No public M&A activity.,ebstours.com,small(2-5),55,2580000,"Marginal fit — niche charter/scheduled service focused on Hasidic Brooklyn-Catskills routes rather than core district school contracts. Family-run with potential succession dynamics, but customer base differs materially from Summit's K-12 contracted model.",100,85,100,100,100,90,158
37,,A,Air B School Bus Trnsprtn Inc,FL,"Miami, FL",96.0,1.0,52,60,2000,census(high),1218485,A,,family-owned,independent,Henry Beltran (President/VP/Treasurer),unknown,"[""school"", ""charter"", ""field-trips"", ""summer-camps""]","Miami-Dade County Public Schools (certified vendor, public routes and field trips); Broward County area","Listed on the 2025 Miami-Dade County Public Schools approved private bus companies roster, indicating active district contracting.",https://airbbus.com,single,13,578000,"Small independent Miami-Dade contractor (~52 power units / 60 drivers per FMCSA, ~70 buses per company materials) with long M-DCPS relationship. Reasonable Florida tuck-in for Summit; size is sub-scale but a useful add-on in a fragmented Miami market. Confirm Beltran-family succession appetite.",100,85,100,100,100,90,288
38,,A,H & W Transportation Inc,PA,"Stoneboro, PA",96.0,1.0,16,16,1995,agent,1750374,ACTIVE,None,family-owned,independent,Joel Walworth (Owner),unknown,"[""school""]","Lakeview School District (Stoneboro/Sandy Lake area, Mercer County PA)",No recent M&A or news; FMCSA authority active since ~2008 as small carrier/broker; continues to serve Lakeview SD per district transportation page.,https://www.facebook.com/p/HW-Transportation-Inc-100034368856418/,single,15,498000,"Very small rural western-PA single-district contractor (Lakeview SD). Independent owner-operator — possible cheap tuck-in to densify any NW PA route cluster, but standalone scale is minimal and likely below Summit's threshold absent geographic synergy.",100,85,100,100,100,90,289
39,,A,Boyo Transportation SVC Inc,PA,"Ephrata, PA",96.0,1.0,12,8,1993,census(medium),872308,A,S,family-owned,independent,"Donald Boyanowski Sr. (Founder, retired 2005); Donald Boyanowski Jr. (Vice President / day-to-day operations); Dorothy Boyanowski",medium,"[""school bus (home-to-school)"", ""special needs / wheelchair-accessible vans"", ""school vans""]","Central PA school districts; historic litigation referenced West Perry School District and Capital Area Intermediate Unit; operates from 5 PA branches (Harrisburg/Middletown HQ, Palmyra/Hershey, Ephrata, Shippensburg, Carlisle)",2017: 25 of 37 buses at one branch failed PA state inspection (twice) — historical safety/inspection issues. Founder retired 2005; son leads operations.,https://www.boyotrans.com/,small(2-5),27,1098000,"Multi-branch family PA operator in Summit footprint with SPED/wheelchair capability and 30+ year history — structurally interesting tuck-in. Caveats: prior PennDOT inspection-failure media coverage (2017) is a diligence flag (maintenance/safety review needed); employee count (27) in source data looks low vs. 5 branches and Ephrata branch alone having 37+ buses in 2017, suggesting fleet/headcount is meaningfully larger. Second-gen owner-operator implies medium succession potential.",100,85,100,100,100,90,366
40,,A,White Transit School Buses Inc,PA,"Nanticoke, PA",96.0,1.0,32,29,1987,census(high),953945,A,,family-owned,independent (Andrejko family),Rick (Richard) Andrejko (Owner / General Manager),medium,"[""school""]",Greater Nanticoke Area School District (Luzerne County PA); awarded 15 Thomas Built Jouley electric buses under EPA Clean School Bus Program (Oct 2022),Selected by EPA Clean School Bus Program (Oct 2022) to receive 15 Thomas Built Jouley electric buses for the Nanticoke School District - notable EV transition validating district relationship and modern fleet posture,(no dedicated website found),single,40,2622000,Solid small PA tuck-in: independent owner-operator with 32 buses serving Greater Nanticoke Area SD; EPA EV grant award demonstrates incumbency and modernization; PA is Summit expansion state - good geographic fit,100,85,100,100,100,90,385
41,,A,Kauffman Bus Svc Inc,PA,"Mechanicsburg, PA",96.0,1.0,83,61,2000,census(high),907104,A,,family-owned,independent,"Jason Petroff (Manager, per source); historical contact W. Hepler (whepler@epix.net); Kauffman family name suggests founding-family roots",medium,"[""school""]",Cumberland Valley School District; Northern York County School District (Cumberland/York county PA corridor near Mechanicsburg/Harrisburg),Active recruiting for school bus drivers and van drivers in 2024-2025 with paid CDL training and sign-on bonuses; FMCSA DOT 907104 shows 63 power units / 63 CDL drivers (school bus carrier classification); no M&A or sale news located.,kauffmanbus.com,single,42,1721000,"Solid independent PA contractor — ~63 buses serving Cumberland Valley & Northern York County SDs, both stable affluent suburban Harrisburg districts. Name suggests Kauffman family legacy with day-to-day run by Jason Petroff; medium succession potential. Geographic fit for Summit PA platform; strong tuck-in candidate.",100,85,100,100,100,90,410
42,,A,Kabata Transportation Inc,PA,"Shickshinny, PA",96.0,1.0,34,23,2001,census(high),1860700,A,,family-owned,independent,"[""Ray Kabata (founder, deceased Feb 2023)"", ""Kabata family (operating successors)""]",high,"[""school bus (intrastate, non-hazmat)""]","[""Northwest Area School District (Shickshinny, Luzerne County PA)""]","Founder Raymond Kabata passed away Feb 3, 2023 (age 68) after battle with Parkinson's; he had managed the company and the family farm. Active USDOT #1860700, ~625,000 miles in 2025.",https://www.facebook.com/kabatatrans/,single,30,1157000,Strong tuck-in candidate: family-owned PA (Summit core state) contractor for Northwest Area SD with HIGH succession signal — founder died 2023 leaving heirs running the business. Sub-scale (~25 buses) but clean single-district relationship in rural Luzerne County is a textbook Summit bolt-on profile.,100,85,100,100,100,90,485
43,,A,Carlos & Susana School Bus,FL,"Miami, FL",96.0,1.0,58,76,1996,census(high),1795484,A,,family-owned,independent,Henry Beltran (President/Owner),medium,"[""school"", ""field-trips"", ""sporting-events"", ""charter""]",Miami-Dade County Public Schools (district school routes); Broward County area routes; Miami-Dade Public Schools certified field trip vendor,"Active FMCSA carrier (DOT #1795484); affiliated/operates as Air B School Bus Transportation (founded 2000); both entities run Miami-Dade public routes (per company site, ongoing as of 2025-26)",https://carlosandsusana.com/,single,8,0,Independent Miami-based operator (~58 buses) with longstanding Miami-Dade contracts and an affiliated Air B brand; meaningful scale for a Florida tuck-in and a real platform footprint in Summit's expansion geography.,100,85,100,100,100,90,1943
44,,A,Carlos-Susana Sch Bus Svc Corp,FL,"Miami, FL",96.0,1.0,58,76,2000,census(medium),1795484,A,,family-owned,independent,"[""Carlos and Susana (founder-namesakes; last names not publicly disclosed)""]",unknown,"[""school routes"", ""field trips"", ""sporting events"", ""SPED (district contracted)""]","[""Miami-Dade County Public Schools (certified contractor)"", ""Broward County Public Schools""]",FMCSA snapshot shows 58 power units / 76 drivers — a meaningful contractor for M-DCPS. No M&A activity identified.,https://carlosandsusana.com/,single,4,178000,"Strong FL tuck-in candidate: ~58 buses, certified Miami-Dade contractor (one of nation's largest districts), Broward overlap, branded operation with website. Founder-couple (founded 2000) implies ~25 yrs of operation and possible succession optic. Source revenue/employee data in seed list (4 emp / $178K) is materially understated vs FMCSA scale.",100,85,100,100,100,90,2006
